,国债,权重,,国债,权重,,国债,权重,,国债,权重
2023年1月,019691,0.017694,2023年2月,019693,0.016052,2023年3月,019695,0.009566,2023年4月,019696,0.015041
,019690,0.017694,,019691,0.016052,,019693,0.011321,,019695,0.011863
,019689,0.017694,,019690,0.001756,,019691,0.010724,,019693,0.013551
,019687,0.017694,,019689,0.016052,,019690,0.017962,,019691,0.015192
,019685,0.017694,,019687,0.016052,,019689,0.013153,,019690,0.010281
,019684,0.004506,,019685,0.016052,,019687,0.010803,,019689,0.016332
,019683,0.007861,,019684,0.004943,,019685,0.011954,,019687,0.011007
,019682,0.006656,,019683,0.015322,,019684,0.005659,,019685,0.014334
,019681,0.007188,,019682,0.004457,,019683,0.010591,,019684,0.009187
,019678,0.007906,,019681,0.002937,,019682,0.017014,,019683,0.011543
,019677,0.017694,,019678,0.009676,,019681,0.01168,,019682,0.009091
,019676,0.008939,,019677,0.016052,,019678,0.009284,,019681,0.009315
,019675,0.008478,,019676,0.014073,,019677,0.013153,,019678,0.010082
,019672,0.00569,,019675,0.016052,,019676,0.013404,,019677,0.013731
,019669,0.008859,,019672,0.00534,,019675,0.013153,,019676,0.020276
,019668,0.011993,,019669,0.019923,,019672,0.014823,,019675,0.016332
,019667,0.007404,,019668,0.002286,,019669,0.014158,,019672,0.009836
,019665,0.017694,,019667,0.018402,,019668,0.007057,,019669,0.008994
,019660,0.017694,,019665,0.016052,,019667,0.007786,,019668,0.003669
,019659,0.006294,,019660,0.016569,,019665,0.013153,,019667,0.008808
,019657,0.017694,,019659,0.016052,,019660,0.011938,,019665,0.016332
,019655,0.017694,,019657,0.016052,,019659,0.013153,,019660,0.016332
,019653,0.017694,,019655,0.016052,,019657,0.013153,,019659,0.01518
,019650,0.017694,,019653,0.016052,,019655,0.013153,,019657,0.016332
,019647,0.008843,,019650,0.006347,,019653,0.013153,,019655,0.009718
,019643,0.017694,,019647,0.016052,,019650,0.013153,,019653,0.016332
,019642,0.017694,,019643,0.016052,,019647,0.013153,,019650,0.016332
,019639,0.007457,,019642,0.016052,,019643,0.015046,,019647,0.011514
,019636,0.007961,,019639,0.01215,,019642,0.013153,,019643,0.016332
,019635,0.017694,,019636,0.016052,,019639,0.013153,,019642,0.022032
,019634,0.017694,,019635,0.016052,,019636,0.013153,,019639,0.016332
,019633,0.003105,,019634,0.016052,,019635,0.013153,,019636,0.009364
,019632,0.024322,,019633,0.003991,,019634,0.013153,,019635,0.016332
,019631,0.051438,,019632,0.070787,,019633,0.010717,,019634,0.004193
,019630,0.004653,,019631,0.006672,,019632,0.017679,,019633,0.003718
,019626,0.017694,,019630,0.003991,,019631,0.013153,,019632,0.01201
,019625,0.005934,,019626,0.016052,,019630,0.007873,,019631,0.025939
,019623,0.017694,,019625,0.000102,,019626,0.013153,,019630,0.00478
,019620,0.017694,,019623,0.016052,,019625,0.01197,,019626,0.012185
,019618,0.002459,,019620,0.016052,,019623,0.015696,,019625,0.016459
,019617,0.017694,,019618,0.006184,,019620,0.013153,,019623,0.016332
,019616,0.017694,,019617,0.016052,,019618,0.00524,,019620,0.016332
,019610,0.017694,,019616,0.015362,,019617,0.013153,,019618,0.003326
,019609,0.006078,,019610,0.016052,,019616,0.013153,,019617,0.016332
,019606,0.006188,,019609,0.003955,,019610,0.013153,,019616,0.017275
,019602,0.017694,,019606,0.02408,,019609,0.013153,,019610,0.016332
,019601,0.004502,,019602,0.016052,,019606,0.00686,,019609,0.016332
,019599,0.00279,,019601,0.016052,,019602,0.00418,,019606,0.00346
,019593,0.017694,,019599,0.002141,,019601,0.013153,,019602,0.003396
,019587,0.017694,,019593,0.016052,,019599,0.005179,,019601,0.016332
,019586,0.017694,,019587,0.016052,,019593,0.013153,,019599,0.008628
,019580,0.007064,,019586,0.016052,,019587,0.013153,,019593,0.016332
,019575,0.006686,,019580,0.016052,,019586,0.013153,,019587,0.005696
,019572,0.017694,,019575,0.016052,,019580,0.013153,,019586,0.016332
,019569,0.003995,,019572,0.016052,,019575,0.013153,,019580,0.016332
,019567,0.017694,,019569,0.004899,,019572,0.013153,,019575,0.008455
,019564,0.017694,,019567,0.016052,,019569,0.006013,,019572,0.016332
,019554,0.005329,,019564,0.016052,,019567,0.013153,,019569,0.007115
,019551,0.017694,,019554,0.003187,,019564,0.013153,,019567,0.016332
,019547,0.005372,,019551,0.016052,,019554,0.005699,,019564,0.016332
,019541,0.003836,,019547,0.003342,,019551,0.013153,,019554,0.005332
