,国债,权重,,国债,权重,,国债,权重,,国债,权重
2023年1月,19691,0.060808,2023年2月,19691,0.067922,2023年3月,19695,0.030713,2023年4月,19695,0.021189
,19684,0.011312,,19684,0.006218,,19691,0.050102,,19691,0.033002
,19676,0.027986,,19676,0.025194,,19684,0.009502,,19684,0.028294
,19668,0.035925,,19668,0.007597,,19676,0.076896,,19676,0.083108
,19643,0.060808,,19643,0.067922,,19668,0.014682,,19668,0.00886
,19635,0.060808,,19635,0.067922,,19643,0.017615,,19643,0.066479
,19631,0.107751,,19631,0.018098,,19635,0.065428,,19635,0.066479
,19630,0.007353,,19630,0.008436,,19631,0.065428,,19631,0.022629
,19626,0.060808,,19626,0.067922,,19630,0.017176,,19630,0.014024
,19617,0.060808,,19617,0.067922,,19626,0.065428,,19626,0.014081
,19610,0.060808,,19610,0.067922,,19617,0.065428,,19617,0.066479
,19606,0.023754,,19606,0.021024,,19610,0.065428,,19610,0.066479
,19601,0.010903,,19601,0.067922,,19606,0.008556,,19606,0.005445
,19599,0.008139,,19599,0.007578,,19601,0.065428,,19601,0.066479
,19564,0.060808,,19564,0.067922,,19599,0.010264,,19599,0.01006
,19554,0.012779,,19554,0.009949,,19564,0.065428,,19564,0.066479
,19532,0.060808,,19532,0.067922,,19554,0.016133,,19554,0.016389
,19523,0.060808,,19523,0.067922,,19532,0.065428,,19532,0.066479
,19505,0.060808,,19505,0.067922,,19523,0.065428,,19523,0.066479
,19218,0.060808,,19218,0.067922,,19505,0.065428,,19505,0.066479
,19105,0.060808,,19105,0.067922,,19218,0.015608,,19218,0.066479
,10504,0.024405,,10504,0.012918,,19105,0.065428,,19105,0.066479
,,,,,,,10504,0.013049,,10504,0.011648
